Video,Ranking,Gratch,CCR,Subject
Healthcare,1,2.090909091,2.041666667,44
Healthcare,3,1.909090909,2.5,45
Healthcare,1,2.272727273,2.541666667,46
Healthcare,1,2.909090909,2.375,47
Healthcare,2,1.454545455,2.166666667,48
Healthcare,1,2.181818182,2.291666667,49
Healthcare,1,1.545454545,2.5,50
Healthcare,1,3,3.25,51
Healthcare,3,2.272727273,3,52
Healthcare,3,3.090909091,3.333333333,53
Healthcare,2,2.909090909,3.416666667,54
Healthcare,1,2,2.541666667,55
Healthcare,1,1.909090909,2.916666667,56
Healthcare,1,3.545454545,3.583333333,57
Healthcare,1,1.909090909,2.166666667,58
Healthcare,1,2.636363636,2.291666667,59
Healthcare,3,2.818181818,3,60
Healthcare,2,2,3.208333333,61
Healthcare,1,1.545454545,2.833333333,62
Healthcare,1,2.363636364,2.791666667,63
Healthcare,1,2.636363636,3.25,64
Healthcare,1,2.545454545,3.833333333,65
Healthcare,1,2.727272727,3.25,66
Healthcare,1,2.909090909,3.291666667,67
Healthcare,3,2,2.166666667,68
Healthcare,1,1.909090909,2.791666667,69
Healthcare,1,2.454545455,2.791666667,70
Healthcare,4,3.090909091,3.583333333,71
Healthcare,1,2.636363636,1.5,72
Healthcare,1,2.454545455,2.083333333,73
Healthcare,4,3,3.708333333,74
Healthcare,1,2.545454545,2.375,75
Healthcare,1,2.909090909,1.916666667,76
Healthcare,1,2.181818182,1.5,77
Healthcare,3,1.636363636,2.75,78
Healthcare,1,2.272727273,1.958333333,79
Healthcare,4,2.636363636,3.833333333,80
Healthcare,1,2.636363636,2.666666667,81
Healthcare,2,1.727272727,1.708333333,82
Healthcare,3,2.636363636,3.083333333,83
Healthcare,1,2.909090909,2.041666667,84
Healthcare,1,1.636363636,2.333333333,85
Healthcare,1,2.272727273,1.416666667,86
Healthcare,1,1.727272727,2,87
Healthcare,1,2.454545455,2.541666667,88
Healthcare,2,3,3.541666667,89
Healthcare,1,2.727272727,3.375,90
Healthcare,1,3.181818182,2.583333333,91
Healthcare,2,1.909090909,2.125,92
Healthcare,2,2.545454545,3.75,93
Healthcare,4,1.818181818,1.791666667,94
Healthcare,1,2.090909091,2.833333333,95
Healthcare,1,1.909090909,2.291666667,96
Healthcare,1,3,3.083333333,97
Healthcare,2,1.272727273,1.916666667,98
Healthcare,1,2.727272727,3.791666667,99
Healthcare,1,2.090909091,2.208333333,100
Healthcare,1,1.909090909,1.958333333,101
Healthcare,1,2.727272727,1.875,102
Healthcare,1,1.818181818,2.125,103
Healthcare,2,2.454545455,2.625,104
Healthcare,2,2.818181818,2.75,105
